9.6810827799e-01 9.7999346336e-01 -1.9902949305e-01 1.2505411221e+00 6.1574806029e+00 -1.9739208802e+01
1.0006685011e+00 9.9999112104e-01 4.2143687824e-03 -2.6479224866e-02 6.2831295016e+00 -1.9739208802e+01
1.0329371771e+00 9.7865919690e-01 2.0549005370e-01 -1.2911330503e+00 6.1490969751e+00 -1.9739208802e+01
1.0651937964e+00 9.1726471683e-01 3.9827794133e-01 -2.5024565447e+00 5.7633439609e+00 -1.9739208802e+01
1.0977082054e+00 8.1738858855e-01 5.7608643429e-01 -3.6196619411e+00 5.1358034906e+00 -1.9739208802e+01
1.1307818641e+00 6.8094720843e-01 7.3233209613e-01 -4.6013843887e+00 4.2785164498e+00 -1.9739208802e+01
1.1648046943e+00 5.1008480493e-01 8.6012354350e-01 -5.4043240955e+00 3.2049551372e+00 -1.9739208802e+01
1.1985637142e+00 3.1757313917e-01 9.4823302247e-01 -5.9579346343e+00 1.9953669347e+00 -1.9739208802e+01
1.2314490350e+00 1.1628063802e-01 9.9321542866e-01 -6.2405694922e+00 7.3060661986e-01 -1.9739208802e+01
1.2638541056e+00 -8.6953022660e-02 9.9621119675e-01 -6.2593940555e+00 -5.4635092378e-01 -1.9739208802e+01
1.2960855087e+00 -2.8554880914e-01 9.5836264938e-01 -6.0215855353e+00 -1.7941683652e+00 -1.9739208802e+01
1.3284138486e+00 -4.7301009778e-01 8.8105509398e-01 -5.5358478647e+00 -2.9720260796e+00 -1.9739208802e+01
1.3611165768e+00 -6.4282571144e-01 7.6600999856e-01 -4.8129971617e+00 -4.0390129269e+00 -1.9739208802e+01
1.3945225063e+00 -7.8832193202e-01 6.1525960129e-01 -3.8658022020e+00 -4.9531964381e+00 -1.9739208802e+01
1.4290350582e+00 -9.0223501776e-01 4.3123949886e-01 -2.7095661574e+00 -5.6689368675e+00 -1.9739208802e+01
1.4623775449e+00 -9.7219232908e-01 2.3417383381e-01 -1.4713619134e+00 -6.1084938333e+00 -1.9739208802e+01
1.4950204204e+00 -9.9950881974e-01 3.1261900706e-02 -1.9642419086e-01 -6.2801293892e+00 -1.9739208802e+01
1.5273187656e+00 -9.8529841679e-01 -1.7082798914e-01 1.0733485004e+00 -6.1908425278e+00 -1.9739208802e+01
1.5595581699e+00 -9.3078444503e-01 -3.6556200755e-01 2.2969026112e+00 -5.8483196690e+00 -1.9739208802e+01
1.5920072662e+00 -8.3748842907e-01 -5.4645090595e-01 3.4334647104e+00 -5.2621209472e+00 -1.9739208802e+01
1.6249586948e+00 -7.0727163720e-01 -7.0693888467e-01 4.4418432608e+00 -4.4439412259e+00 -1.9739208802e+01
1.6587812035e+00 -5.4225471442e-01 -8.4021185319e-01 5.2792239085e+00 -3.4071051012e+00 -1.9739208802e+01
1.6927424899e+00 -3.5202442806e-01 -9.3598897918e-01 5.8810100393e+00 -2.2118485590e+00 -1.9739208802e+01
1.7257491379e+00 -1.5175737372e-01 -9.8841627182e-01 6.2104199682e+00 -9.5352965253e-01 -1.9739208802e+01
1.7582141304e+00 5.1614855137e-02 -9.9866581638e-01 6.2748184208e+00 3.2429900865e-01 -1.9739208802e+01
1.7904559221e+00 2.5148976338e-01 -9.6785892160e-01 6.0812510575e+00 1.5801526524e+00 -1.9739208802e+01
1.8227480399e+00 4.4136272749e-01 -8.9732793116e-01 5.6380894882e+00 2.7731615173e+00 -1.9739208802e+01
1.8553638488e+00 6.1473356349e-01 -7.8873415917e-01 4.9557722653e+00 3.8624838100e+00 -1.9739208802e+01
1.8886192169e+00 7.6497204695e-01 -6.4406296437e-01 4.0467739024e+00 4.8064607408e+00 -1.9739208802e+01
1.9229375704e+00 8.8506174464e-01 -4.6547327745e-01 2.9246593732e+00 5.5610069616e+00 -1.9739208802e+01
1.9564486925e+00 9.6280091368e-01 -2.7021154845e-01 1.6977917880e+00 6.0494566181e+00 -1.9739208802e+01
1.9891880690e+00 9.9769532306e-01 -6.7853039675e-02 4.2633419790e-01 6.2687045748e+00 -1.9739208802e+01
